Postal,Beer,Wine,Clusters
AL,1.2,0.22,0
AK,1.31,0.54,3
AZ,1.19,0.38,4
AR,1.07,0.17,0
CA,1.05,0.55,2
CO,1.22,0.46,4
CT,0.89,0.59,2
DE,1.31,0.57,3
FL,1.26,1.0,6
GA,1.21,0.48,4
HI,1.08,0.25,0
ID,1.3,0.53,3
IL,1.05,0.92,6
IN,1.22,0.39,4
IA,1.09,0.25,0
KS,1.42,0.18,7
KY,1.18,0.14,0
LA,1.11,0.18,0
ME,1.5,0.28,7
MD,1.24,0.42,4
MA,0.97,0.37,2
MI,1.02,0.61,2
MN,1.1,0.31,4
MS,1.19,0.37,4
MO,1.41,0.11,7
MT,1.3,0.3,1
NE,1.66,0.45,8
NV,1.46,0.2,7
NH,1.57,0.58,8
NJ,1.72,0.84,8
NM,0.92,0.57,2
NY,1.37,0.32,1
NC,0.91,0.46,2
ND,1.1,0.34,4
OH,1.63,0.25,7
OK,1.28,0.26,1
OR,1.18,0.18,0
PA,1.28,0.49,3
RI,1.35,0.23,1
SC,1.1,0.53,2
SD,1.36,0.24,1
TN,1.53,0.22,7
TX,1.05,0.21,0
UT,1.42,0.28,1
VT,0.7,0.17,5
VA,1.36,0.63,3
WA,1.11,0.43,4
WV,1.09,0.51,2
WI,1.24,0.1,0
WY,1.49,0.31,7
WY,1.45,0.22,7
